Date,Buy or sell signal,Profit,95% VAR,99% VAR
25/10/2019,-2,-38900.146,36375.73521,51244.93991
28/10/2019,2,-31500,35704.7381,50352.20617
29/10/2019,-2,-28739.99,33291.73139,47548.92309
30/10/2019,2,-34560.058,35330.00992,49586.74057
11/11/2019,-2,-16679.932,33053.18868,47306.99064
12/11/2019,2,-12699.952,35629.49834,49908.40099
13/11/2019,-2,-49780.03,32711.28879,46685.25617
25/11/2019,2,-41459.962,35847.63659,49951.57076
04/12/2019,-2,-26300.05,31557.95835,45547.33023
16/12/2019,2,-17040.04,35022.1423,49270.62115
